,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
ETR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.005,0.001,0.007,0.006,0.007
PCG,0.022,0.035,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.005,0.001,0.007,0.004,0.005
CAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.005,0.005,0.005
BKR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.004,0.004
ROK,0.0,0.011,0.019,0.037,0.01,0.025,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
SYY,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.002,0.013,0.005,0.001,0.006,0.006,0.006
VMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.005
WEC,0.15,0.134,0.168,0.153,0.168,0.151,0.0,0.052,0.013,0.005,0.001,0.008,0.007,0.007
EQT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.004,0.004
EFX,0.019,0.003,0.054,0.059,0.041,0.037,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.004
HSY,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.019,0.036,0.005,0.001,0.008,0.006,0.007
CCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.003,0.003,0.003
GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.043,0.038,0.005,0.001,0.007,0.007,0.007
RJF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
K,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.028,0.005,0.001,0.007,0.006,0.007
DTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.015,0.005,0.001,0.007,0.007,0.007
WRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.005,0.004,0.005
HUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.004,0.004
LEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.003
DD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
ROL,0.015,0.017,0.0,0.0,0.0,0.0,0.071,0.0,0.042,0.005,0.001,0.01,0.006,0.007
STT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
PPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.001,0.006,0.006,0.006
TPL,0.102,0.106,0.011,0.028,0.066,0.074,0.026,0.0,0.0,0.005,0.001,0.008,0.004,0.005
IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
NUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.003
PPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.006,0.004
TYL,0.01,0.03,0.0,0.0,0.0,0.008,0.014,0.0,0.0,0.005,0.001,0.006,0.003,0.004
ATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.005,0.001,0.006,0.006,0.006
DOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.004
CNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.006,0.005,0.006
